product_id,product_name,model_year,price,units_sold,total_revenue
1,"Trek 820 - 2016",2016,379.99,0,0.00
154,"Trek Domane SLR 6 Disc Women's - 2018",2018,5499.99,0,0.00
195,"Electra Townie Go! 8i Ladies' - 2018",2018,2599.99,0,0.00
121,"Surly Krampus Frameset - 2018",2018,2499.99,0,0.00
125,"Trek Kids' Dual Sport - 2018",2018,469.99,0,0.00
284,"Electra Savannah 1 (20-inch) - Girl's - 2018",2018,319.99,0,0.00
291,"Electra Sweet Ride 1 (20-inch) - Girl's - 2018",2018,319.99,0,0.00
267,"Trek Precaliber 12 Girl's - 2018",2018,199.99,0,0.00
320,"Trek Checkpoint SL 6 - 2019",2019,3799.99,0,0.00
321,"Trek Checkpoint ALR Frameset - 2019",2019,3199.99,0,0.00
319,"Trek Checkpoint SL 5 Women's - 2019",2019,2799.99,0,0.00
317,"Trek Checkpoint ALR 5 - 2019",2019,1999.99,0,0.00
318,"Trek Checkpoint ALR 5 Women's - 2019",2019,1999.99,0,0.00
316,"Trek Checkpoint ALR 4 Women's - 2019",2019,1699.99,0,0.00
